98092,15241,10680,4561,79,82.9,69.9,2.9,1.1,7.3,2.3,0.8,6,9.5,10.6,6.8,0.3,0.2,0.7,1.5,1.2,2.3,4.4,3.3,7.1,5.6,4.7,7.7,76.1,80.1,66.7,20.9,11.2,43.6,18.3,16.1,23.7,23.9,27.3,16.1,20.6,26.4
98101,7911,1361,6550,73.6,86.6,70.9,6.4,0,7.7,2,0.7,2.2,12.5,10.4,13,0.3,0,0.4,1.3,1.1,1.4,3.9,1.2,4.5,4.3,1.4,4.9,70.1,85.9,66.9,36.1,19.5,39.5,15.2,20.7,14,14.4,17.2,13.8,13.5,16.2
98102,14390,4121,10269,81.8,83.3,81.2,3.2,3.2,3.2,0.6,1.4,0.2,8.1,9.2,7.7,0.1,0,0.2,0.6,0.4,0.7,5.5,2.5,6.7,4.9,3.8,5.4,78.4,80.2,77.6,47.1,14.5,60.2,19.1,19.1,19.1,13.6,22.2,10.2,10.2,18.7
98103,22936,11035,11901,86.6,87.8,85.5,1,0.5,1.6,0.2,0.1,0.2,7.4,7.8,7,0,0,0,0.5,0.3,0.6,4.4,3.6,5.1,4,3.3,4.6,83.5,85.7,81.6,37.2,16.6,56.3,22.3,23.3,21.5,14.9,21.7,8.5,14,20.3
98104,7277,729,6548,54.2,75.7,51.8,11,5.3,11.7,2.9,0.7,3.2,27.3,15.5,28.6,0,0,0,2.3,0,2.5,2.3,2.7,2.2,6.2,0,6.9,50.8,75.7,48,36.3,21.7,37.9,13.1,12.9,13.1,13.5,12.5,13.6,13.9,21.1
98105,15274,5607,9667,69.1,84.4,60.2,1.5,0.6,2,0.6,0.2,0.8,20.6,10.3,26.5,0.3,0.1,0.3,1.6,0.4,2.3,6.4,3.9,7.8,4,2.9,4.7,67.1,82.6,58.1,47.7,9.6,69.8,15.1,24.3,9.7,11.3,18.9,6.9,12,19.8
98106,10119,4697,5422,63.5,70.6,57.5,12.7,6,18.5,0.6,0.3,0.8,14.1,17.3,11.3,1.4,0,2.6,1.8,1,2.4,5.9,4.7,6.9,8.7,5.2,11.8,57.8,66.5,50.2,22.4,12.6,30.9,24.3,26,22.7,19.3,25,14.4,18.3,20.7
98107,12128,4331,7797,90,93.1,88.3,0.8,0.5,1,0.1,0.2,0,4.1,4.6,3.8,0.2,0,0.3,0.9,0.2,1.3,3.9,1.4,5.3,4.9,2.2,6.4,87.9,91,86.2,40.7,18.1,53.3,20.5,22.9,19.1,12.3,17,9.7,12.2,22.4
98108,8057,4399,3658,40.5,39.7,41.5,11.9,5.8,19.1,1.6,1.5,1.7,35.4,47.5,20.9,0.7,0,1.5,3.7,1.6,6.2,6.2,3.9,9.1,9.5,5.2,14.6,35.9,37,34.5,22.1,11.3,35.1,21.9,20.9,23,19.7,21.9,17.1,17.9,21
98109,14006,3954,10052,79.3,88.6,75.6,3.3,0,4.6,0.4,0,0.6,13.1,8.5,14.9,0.2,0,0.2,0.3,0.4,0.3,3.4,2.5,3.8,4.4,1.5,5.6,76.2,87.2,71.9,50.4,12.6,65.3,16.6,26.4,12.8,11.8,19.2,8.9,8.9,17.4
